姓名,队伍,国籍,年龄,游戏内位置
s1mple,Natus Vincere,乌克兰,28,rifle
ZywOo,Team Vitality,法国,25,awp
NiKo,Team Falcons,波黑,28,entry
dev1ce,Astralis,丹麦,30,awp
coldzera,RED Canids,巴西,31,support
f0rest,Ninjas in Pyjamas,瑞典,37,streamer
GeT_RiGhT,无队伍,瑞典,35,lurk
kennyS,无队伍,法国,30,awp
olofmeister,FaZe Clan,瑞典,33,support
GuardiaN,无队伍,Slovakia,34,coach
paszaBiceps,未找到,未知国籍,未知年龄,未知位置
Snax,G2 Esports,波兰,32,igl
shox,无队伍,法国,33,support
KRIMZ,Fnatic,瑞典,31,support
flusha,EYEBALLERS,瑞典,32,support
JW,EYEBALLERS,瑞典,30,awp
Xyp9x,MOUZ,丹麦,30,assistant coach
dupreeh,Team Falcons,丹麦,32,entry
gla1ve,ENCE,丹麦,30,igl
magisk,Team Falcons,丹麦,27,rifle
electronic,未找到,未知国籍,未知年龄,未知位置
Boombl4,BetBoom Team,俄罗斯,27,igl
Perfecto,Cloud9,xx,26,support
b1t,Natus Vincere,乌克兰,22,support
m0NESY,G2 Esports,俄罗斯,20,awp
donk,Team Spirit,俄罗斯,18,entry
Ax1Le,BetBoom Team,俄罗斯,23,rifle
sh1ro,Team Spirit,俄罗斯,24,awp
