姓名,队伍,国籍,年龄,游戏内位置
s1mple,Natus Vincere,Ukraine,28,未知位置
ZywOo,Team Vitality,France,25,未知位置
NiKo,Team Falcons,Bosnia and Herzegovina,28,Rifler (entry fragger)
dev1ce,Astralis,Denmark,30,AWPer
coldzera,RED Canids,Brazil,31,未知位置
f0rest,Ninjas in Pyjamas,Sweden,37,未知位置
GeT_RiGhT,自由选手,Sweden,35,Rifler (lurker)
kennyS,自由选手,France,30,AWPer
olofmeister,FaZe Clan,Sweden,33,未知位置
GuardiaN,自由选手,Slovakia,34,Coach
paszaBiceps,自由选手,Poland,37,未知位置
Snax,G2 Esports,Poland,32,未知位置
shox,自由选手,France,33,未知位置
KRIMZ,Fnatic,Sweden,31,Rifler (support)
flusha,EYEBALLERS,Sweden,32,Rifler (support)
JW,EYEBALLERS,Sweden,30,AWPer
Xyp9x,MOUZ,Denmark,30,Assistant Coach
dupreeh,Team Falcons,Denmark,32,未知位置
gla1ve,ENCE,Denmark,30,In-game leader
magisk,Team Falcons,Denmark,27,Rifler
electronic,Virtus.pro,Russia,27,未知位置
Boombl4,BetBoom Team,Russia,27,未知位置
Perfecto,Cloud9,Non-representing Russia,26,未知位置
b1t,Natus Vincere,Ukraine,22,Rifler (support)
m0NESY,G2 Esports,Russia,20,AWPer
donk,Team Spirit,Russia,18,Rifler (entry fragger)
Ax1Le,BetBoom Team,Russia,23,Rifler
sh1ro,Team Spirit,Russia,24,AWPer
nafany,BetBoom Team,Russia,24,未知位置
Stewie2K,自由选手,United States,27,未知位置
twistzz,Team Liquid,Canada,26,未知位置
NAF,Team Liquid,Canada,28,Rifler
nitr0,NRG,United States,30,未知位置
tarik,自由选手,United States,29,Rifler (entry fragger)
autimatic,自由选手,United States,29,未知位置
Skadoodle,自由选手,United States,32,AWPer
Hiko,自由选手,United States,35,Rifler (lurker)
seangares,自由选手,United States,37,Broadcast Analyst
daps,NRG,Canada,32,Coach
stanislaw,Wildcard,Canada,31,In-game leader
Brehze,自由选手,United States,27,Rifler
Ethan,自由选手,United States,25,Rifler
dycha,自由选手,Poland,28,Rifler
hades,Monte,Poland,25,AWPer
mantuu,9INE,Poland United Kingdom,28,AWPer
ropz,Team Vitality,Estonia,26,Rifler (lurker)
broky,FaZe Clan,Latvia,24,AWPer
karrigan,FaZe Clan,Denmark Germany,35,未知位置
rain,FaZe Clan,Norway,31,Rifler
tabseN,BIG,Germany,30,未知位置
syrsoN,自由选手,Germany,29,AWPer
tiziaN,自由选手,Germany,29,未知位置
gade,自由选手,Denmark,31,Rifler (entry fragger)
stavn,Astralis,Denmark,23,未知位置
cadiaN,Astralis,Denmark,30,未知位置
TeSeS,Team Falcons,Denmark,25,Rifler (entry fragger)
sjuush,Ninjas in Pyjamas,Denmark,26,Rifler (support)
refrezh,9INE,Denmark,27,Rifler (lurker)
blameF,Fnatic,Denmark,28,未知位置
k0nfig,自由选手,Denmark,28,未知位置
valde,Tricked Esport,Denmark,30,未知位置
acoR,TSM,Denmark,28,AWPer
jabbi,Astralis,Denmark,22,Rifler
nicoodoz,自由选手,Denmark,25,AWPer
Spinx,MOUZ,Israel,25,Rifler (lurker)
flamie,自由选手,Russia,28,Rifler
sdy,ENCE,Ukraine,28,未知位置
degster,Team Falcons,Russia,24,AWPer
patsi,Aurora Gaming,Russia,22,Rifler
r1nkle,Ninjas in Pyjamas,Ukraine,21,AWPer
headtr1ck,B8,Ukraine,21,未知位置
Mir,自由选手,Russia,29,Rifler
Jame,PARIVISION,Russia,27,未知位置
FL1T,Virtus.pro,Russia,25,Rifler (lurker)
Qikert,PARIVISION,Kazakhstan,26,未知位置
Buster,自由选手,Kazakhstan,26,未知位置
WorldEdit,HAPPY PEOPLE,Russia,34,未知位置
markeloff,ESC Gaming,Ukraine,37,未知位置
Edward,ESC Gaming,Ukraine,38,Rifler
starix,自由选手,Ukraine,38,Coach
ceh9,Maincast,Ukraine,36,未知位置
TaZ,G2 Esports,Poland,39,Coach
pasha,自由选手,Poland,37,未知位置
byali,自由选手,Poland,31,未知位置
FalleN,FURIA,Brazil,34,未知位置
fer,自由选手,Brazil,34,Rifler (entry fragger)
TACO,自由选手,Brazil,30,未知位置
fnx,自由选手,Brazil,35,Rifler
LUCAS1,自由选手,Brazil,30,未知位置
HEN1,RED Canids,Brazil,30,AWPer
kscerato,FURIA,Brazil,26,Rifler (lurker)
yuurih,FURIA,Brazil,26,Rifler
arT,Fluxo,Brazil,29,未知位置
VINI,Imperial Esports,Brazil,26,未知位置
saffee,MIBR,Brazil,31,AWPer
drop,RED Canids,Brazil,21,未知位置
chelo,FURIA,Brazil,27,Rifler (entry fragger)
biguzera,paiN Gaming,Brazil,28,未知位置
