姓名,队伍,国籍,年龄,游戏内位置
stikle-,自由选手,Albania,27,Coach
chrissK,自由选手,Austria,28,未知位置
farmaG,Sissi State Punks,Austria,28,AWPer
kakafu,自由选手,Austria,36,Coach
Orbit,Permitta Esports,Austria,23,Rifler (entry fragger)
ReacTioNNN,自由选手,Austria,24,Rifler (lurker)
S3NSEY,Fire Flux Esports,Austria,22,AWPer
sehza,自由选手,Austria Turkey,27,Rifler
sesL,自由选手,Austria,25,AWPer
xTreMe,自由选手,Austria,25,Rifler (entry fragger)
AntO_oNNN,自由选手,Belgium,30,未知位置
CrePoW,Fisher College,Belgium Russia,24,In-game leader
FARIS,自由选手,Belgium,33,Rifler
Keoz,自由选手,Belgium,25,Rifler
KllyVe,自由选手,Belgium,32,Rifler
MetaL,自由选手,Belgium,34,Rifler
n0te,自由选手,Belgium,19,Rifler
Nexius,OG,Belgium,22,Rifler
Nivera,自由选手,Belgium Morocco,24,未知位置
ritchiEE,Maestro Esports,Belgium,27,Rifler
Stev0se,Maestro Esports,Belgium,32,未知位置
yNc,自由选手,Belgium,未知年龄,Rifler
brutmonster,Zero Tenacity,Bosnia and Herzegovina,24,AWPer
huNter-,G2 Esports,Bosnia and Herzegovina Serbia,29,Rifler (lurker)
Katalic,自由选手,Bosnia and Herzegovina,28,未知位置
NiKo,Team Falcons,Bosnia and Herzegovina,28,Rifler (entry fragger)
sarenii,自由选手,Bosnia and Herzegovina,27,Rifler (entry fragger)
simke,Zero Tenacity,Bosnia and Herzegovina,21,Rifler
AwaykeN,Lausanne-Sport Esports,Bulgaria,22,AWPer
blocker,自由选手,Bulgaria,28,Rifler (entry fragger)
bubble,Imperial Female,Bulgaria,34,Coach
CeRq,500,Bulgaria,26,AWPer
dennyslaw,JiJieHao,Bulgaria,26,AWPer
doublemagic,自由选手,Bulgaria,28,未知位置
Duplicate,自由选手,Bulgaria,24,Rifler
Grashog,自由选手,Bulgaria Poland,26,未知位置
h4rn,自由选手,Bulgaria,25,未知位置
hybrid,自由选手,Bulgaria,未知年龄,Rifler
Joanana,Let Her Cook,Bulgaria,24,AWPer
KalubeR,自由选手,Bulgaria,25,Rifler
Krs7N,自由选手,Bulgaria,22,Rifler
mar,自由选手,Bulgaria,28,Rifler
milky,自由选手,Bulgaria,24,未知位置
niki1,自由选手,Bulgaria,35,未知位置
