姓名,队伍,国籍,年龄,游戏内位置
s1mple,BC.Game Esports,Ukraine,28,AWPer
ZywOo,Team Vitality,France,25,AWPer
NiKo,Team Falcons,Bosnia and Herzegovina,28,Rifler
dev1ce,Astralis,Denmark,30,AWPer
coldzera,Free Agent,Brazil,31,Rifler
f0rest,Ninjas in Pyjamas,Sweden,37,Free Agent
GeT_RiGhT,Free Agent,Sweden,35,Lurker
kennyS,Free Agent,France,30,AWPer
olofmeister,FaZe Clan,Sweden,33,Rifler
GuardiaN,Free Agent,Slovakia,34,Coach
Snax,Free Agent,Poland,32,Rifler
shox,Free Agent,France,33,Rifler
KRIMZ,Fnatic,Sweden,31,Support
flusha,Free Agent,Sweden,32,Support
JW,EYEBALLERS,Sweden,30,AWPer
Xyp9x,MOUZ,Denmark,30,Coach
dupreeh,Free Agent,Denmark,32,Free Agent
gla1ve,ENCE,Denmark,30,Rifler
magisk,Astralis,Denmark,27,Rifler
electronic,BC.Game Esports,Russia,27,Rifler
Boombl4,BetBoom Team,Russia,27,Rifler
Perfecto,Virtus.pro,Russia,26,Rifler
b1t,Natus Vincere,Ukraine,22,Support
m0NESY,Team Falcons,Russia,20,AWPer
donk,Team Spirit,Russia,18,Rifler
Ax1Le,BetBoom Team,Russia,23,Rifler
sh1ro,Team Spirit,Russia,24,AWPer
nafany,AMKAL ESPORTS,Russia,24,Rifler
Stewie2K,Free Agent,United States,27,Rifler
twistzz,FaZe Clan,Canada,26,Support
NAF,Team Liquid,Canada,28,Rifler
nitr0,NRG,United States,30,Rifler
tarik,Free Agent,United States,29,Rifler
autimatic,Free Agent,United States,29,Rifler
Skadoodle,Free Agent,United States,32,AWPer
Hiko,Free Agent,United States,35,Lurker
daps,NRG,Canada,32,Coach
stanislaw,Wildcard,Canada,31,Rifler
Brehze,Free Agent,United States,27,Rifler
Ethan,Free Agent,United States,25,Rifler
dycha,Betclic Apogee Esports,Poland,28,Rifler
hades,Inner Circle Esports,Poland,25,AWPer
mantuu,Free Agent,Poland United Kingdom,28,AWPer
ropz,Team Vitality,Estonia,26,Lurker
broky,FaZe Clan,Latvia,24,AWPer
karrigan,FaZe Clan,Denmark Germany,35,Rifler
rain,100 Thieves,Norway,31,Rifler
tabseN,BIG,Germany,30,Rifler
syrsoN,Free Agent,Germany,29,AWPer
gade,Free Agent,Denmark,31,Rifler
stavn,Astralis,Denmark,23,Rifler
cadiaN,OG,Denmark,30,Rifler
TeSeS,Team Falcons,Denmark,25,Rifler
sjuush,Ninjas in Pyjamas,Denmark,26,Support
refrezh,Free Agent,Denmark,27,Lurker
blameF,Fnatic,Denmark,28,Rifler
k0nfig,Free Agent,Denmark,28,Rifler
valde,Tricked Esport,Denmark,30,Rifler
acoR,ECSTATIC,Denmark,28,AWPer
jabbi,Astralis,Denmark,22,Rifler
nicoodoz,OG,Denmark,25,AWPer
Spinx,MOUZ,Israel,25,Lurker
flamie,Flame Sharks,Russia,28,Rifler
sdy,ENCE,Ukraine,28,Rifler
degster,Team Falcons,Russia,24,AWPer
patsi,Sangal Esports,Russia,22,Rifler
r1nkle,Ninjas in Pyjamas,Ukraine,21,AWPer
headtr1ck,B8,Ukraine,21,AWPer
Mir,Free Agent,Russia,29,Rifler
Jame,PARIVISION,Russia,27,AWPer
FL1T,Virtus.pro,Russia,25,Lurker
Qikert,Free Agent,Kazakhstan,26,Rifler
Buster,ALLINNERS,Kazakhstan,26,Rifler
WorldEdit,HAPPY PEOPLE,Russia,34,AWPer
Edward,ESC Gaming,Ukraine,38,Rifler
TaZ,Free Agent,Poland,39,Coach
pasha,Free Agent,Poland,37,Rifler
byali,Free Agent,Poland,31,Rifler
FalleN,FURIA,Brazil,34,AWPer
fer,Free Agent,Brazil,34,Rifler
TACO,Free Agent,Brazil,30,Rifler
fnx,Free Agent,Brazil,35,Rifler
LUCAS1,Free Agent,Brazil,30,Rifler
HEN1,RED Canids,Brazil,30,AWPer
kscerato,FURIA,Brazil,26,Lurker
yuurih,FURIA,Brazil,26,Rifler
arT,Fluxo,Brazil,29,Rifler
VINI,Imperial Esports,Brazil,26,Rifler
saffee,MIBR,Brazil,31,AWPer
drop,RED Canids,Brazil,21,Rifler
chelo,Imperial Esports,Brazil,27,Rifler
biguzera,paiN Gaming,Brazil,28,Rifler
felps,Gaimin Gladiators,Brazil,29,Rifler
zews,Free Agent,Brazil,38,Coach
Boltz,Free Agent,Brazil,28,Rifler
MalbsMd,G2 Esports,Guatemala,23,Rifler
chrisJ,Free Agent,Netherlands,35,AWPer
oskar,Free Agent,Czechia,34,AWPer
STYKO,Free Agent,Slovakia,29,Rifler
